,smi,Score,Score_bin
60,COc1ccc(NC(=O)[C@H]2COc3ccccc3C2)c(OC)c1,-29.669928000000002,0
61,CC[C@H]1c2ccccc2CCN1C(=O)CCN1CCN(CC)CC1,-4.173605,0
62,CC(=O)N1C[C@@H](CO)C2(C1)CCN(C1CCN(C(C)=O)CC1)CC2,-13.388116,0
63,COc1ccc(S(=O)(=O)N(C)c2ccc(OC)c(Cl)c2)cc1F,-20.359222,0
64,CCNC(=O)CN1CCN(Cc2ccc(N(C)C)nc2)CC1,-14.21995,0
65,CNC(=O)C1CCN(C(=O)CN[C@@H](C)c2cccc(Cl)c2)CC1,-27.440573999999998,0
66,Cc1nn(C)cc1[C@@H](C)NC(=O)CC1CCN(C(=O)C(C)C)CC1,-23.144648,0
67,CCN(C(=O)c1ccsc1)C1CCCCC1,-27.269726000000002,0
68,CCc1c(C)nc2cc(-c3cc(C)on3)nn2c1N1CCN(C(C)=O)CC1,-18.151404,0
69,CC1CCN(C(=O)c2ccc3ncnc(N4CCCC4)c3c2)CC1,-16.739493,0
70,COc1ccc(CCCN(C)C(=O)c2ccc3c(c2)C(=O)N(C)C3=O)cc1OC,-23.991581,0
71,COCCN(C)S(=O)(=O)c1csc(C(=O)Nc2ccc(C)c(C)c2)c1,-25.594314,0
72,Cc1cc(C)cc(CN2CCN(C(=O)CCc3ccncc3)CC2=O)c1,-22.750126,0
73,CCc1nc(C)c(C(=O)N2C[C@@H](N)C[C@H]2C(=O)N(CC)CC)o1,-11.553871000000001,0
74,CC[C@H]1C[C@H](NC(=O)N2CCC3(C=Cc4ccccc4O3)CC2)CCO1,-27.870576,0
75,NC(=O)c1cc2n(n1)[C@H](C(F)(F)F)C[C@H](c1ccccc1)N2,-21.903728,0
76,CCc1nc([C@H]2CCCN2C(=O)Cc2c(C)[nH]c3ccccc32)no1,-30.838990999999996,1
77,C[C@@H]1CCc2c(sc3ncnc(N4CCN(S(C)(=O)=O)CC4)c23)C1,-12.514114,0
78,C[C@H](NCC(=O)NCC(=O)Nc1ccc(F)cc1)c1cccc(C(F)(F)F)c1,-30.44909,1
79,C[C@@H]1CN(C[C@@H]2CCCN2C(=O)c2ccccc2)C[C@H](C)O1,-25.240656,0
80,Cc1ccc(CCNC(=O)c2cc(Cn3c(C)nc4ccccc43)[nH]n2)o1,-29.753691999999997,0
81,CCn1nnc2cc(C(=O)NN3C(=O)N[C@](C)(c4ccccc4)C3=O)ccc21,-15.375167000000001,0
82,COc1ccc(-n2cc(C(=O)Nc3cccc4ncccc43)nn2)cc1,-39.863334,1
83,c1cn(CCc2nc3ccccc3[nH]2)c(-c2cnc(-c3ccccn3)nc2)n1,-24.699493,0
84,Cc1nc2cc(C(=O)N[C@@H]3CCOC4(CCOCC4)C3)ccc2s1,-29.474047,0
85,O=C(c1ccsc1)N1CCC(Cc2nc(C3CCOCC3)no2)CC1,-30.446990999999997,1
86,CC(=O)c1cccc(-c2cc(C(=O)N3CCOCC3)ccn2)c1,-37.03675,1
87,Cc1noc(C)c1C(=O)N1CCCC[C@H]1c1ccc(F)cc1,-18.440713,0
88,COCCn1ccnc1[C@@H]1CCCN(C(=O)c2ccncc2)C1,-23.609897,0
89,O=C(N[C@@H](c1ccccc1)c1ccc2nc[nH]c2c1)C1CC1,-32.506976,1
90,CCCSc1ncc(CN[C@@H](CC)c2ncnn2C)cn1,-16.223159,0
91,CC[C@@H](NS(=O)(=O)Cc1noc2ccccc12)c1ccc2c(c1)OCCO2,-28.294306,0
92,O=S(=O)(c1ccc2[nH]c(Cc3ccccc3)nc2c1)N1CCOCC1,-15.875101,0
93,O=C(NC1CCN(Cc2ccccn2)CC1)c1cnc(Nc2ccccc2)nc1,-29.307027,0
94,COC(=O)[C@H]1[C@@H](c2ccc(Br)cc2)c2c(O)n[nH]c2C[C@@]1(C)O,-17.368212,0
95,CNC(=O)c1cc(S(=O)(=O)NCc2ccc3c(c2)OCCO3)ccc1OC,-19.844207,0
96,COc1ccc(OC)c([C@@H](C)NC(=O)c2cccc(F)c2)c1,-25.81205,0
97,C[C@@H](c1cccc(Cl)c1)N(C)C(=O)N[C@H]1CCCc2c1cnn2C,-24.1851,0
98,COc1cccc(C2=CCCCC2)c1OC,-21.224242,0
99,Cc1cn2c(n1)[C@@H](CNCc1cnc(C(C)(C)C)s1)CCC2,-21.644469,0
100,Cc1cccc(-n2nc(C3CC3)nc2-c2ccsc2)n1,-17.063479,0
101,O=c1[nH]c2ccccc2nc1/C=C/c1ccc(Cl)cc1,-30.176319,1
102,CC(=O)c1c(C)nn(CC(=O)N2CCCC[C@@H]2c2nccs2)c1C,-14.868114000000002,0
103,CCOC(=O)CN1CCO[C@H](COc2ccc(Cl)cc2)C1,-19.263751,0
104,O=C(NCc1nc(-c2cccs2)n[nH]1)c1cc2ccccc2o1,-27.663789,0
105,Cc1cc(C)n(-c2ccc(C(=O)N3CCC(c4ccnc(C)n4)CC3)cc2)n1,-27.276133,0
106,CC[C@@]1(N2CCN(C(=O)Cc3ccccc3F)CC2)CCN(S(C)(=O)=O)C1,-25.733648000000002,0
107,Cc1ccccc1S(=O)(=O)N1CCC[C@H]1c1cc(C(C)C)no1,-24.551481,0
108,CC(C)(C)N1CCN(C(=O)[C@@H]2CC(=O)Nc3ccccc32)CC1,-15.807128,0
109,CNC(=O)CO[C@H]1CO[C@]2(C1)CCCN(C(=O)c1ccncc1)C2,-41.256093,1
110,Cc1ccc(C(=O)NCc2noc(-c3cccc(C)c3)n2)cc1,-33.055812,1
111,O=C(Nc1ccc(F)cc1F)c1ccc(S(=O)(=O)N2CCCCCC2)cc1,-24.72662,0
112,CCOc1ccccc1N1CCN(C(=O)c2csc(C)c2CC)CC1,-26.892205,0
113,CCCCNC(=O)N[C@H]1CCCc2c1cnn2-c1ccc(F)cc1F,-24.255936,0
114,CCOC(=O)[C@@H]1CCCN(CC(=O)N[C@@H]2CCCCNC2=O)C1,-24.016883,0
115,CCN(C)c1ccccc1NC(=O)N[C@H]1CCc2nnc(C(C)C)n2C1,-9.649324,0
116,O=C(Cn1c(=O)cnc2ccccc21)NC[C@@H]1CN(C2CC2)CCO1,-26.29960800000001,0
